"","CommonName","ScientificName","Order","Family","MeanLog","SDLog","Median","SD"
"1846","Black-rumped Magpie","Pica bottanensis","Passeriformes","Corvidae (Crows, Jays, and Magpies)",14.9106825797759,2.23448076959972,2989696.93224371,9.34163013437198
"1847","Rufous Songlark","Megalurus mathewsi","Passeriformes","Locustellidae (Grassbirds and Allies)",14.8832870335791,2.29372068173641,2908904.28413469,9.9117476180168
"1848","Australian Yellow White-eye","Zosterops luteus","Passeriformes","Zosteropidae (White-eyes, Yuhinas, and Allies)",14.9234382188426,2.27380855094207,3028076.68598901,9.71633559451325
"1849","Black-nest Swiftlet","Aerodramus maximus","Caprimulgiformes","Apodidae (Swifts)",14.8588994697772,2.25733994600337,2838821.24606808,9.55763150651305
"1850","Long-tailed Mockingbird","Mimus longicaudatus","Passeriformes","Mimidae (Mockingbirds and Thrashers)",14.8994643584452,2.32354455544774,2956345.27326264,10.211806546404
"1851","Desert Sparrow","Passer simplex","Passeriformes","Passeridae (Old World Sparrows)",14.9261782048906,2.26267248595609,3036384.95092781,9.60873409056449
"1852","White-rumped Snowfinch","Montifringilla taczanowskii","Passeriformes","Passeridae (Old World Sparrows)",14.8776897262281,2.28269488147942,2892667.73566858,9.80306293742097
"1853","Tawny Eagle","Aquila rapax","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)",14.9329246028186,2.32684578938219,3056938.86655896,10.2455738148666
"1854","African Skimmer","Rynchops flavirostris","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",14.8997614889063,2.28213416287655,2957223.82401241,9.79756771844654
"1855","Mosque Swallow","Cecropis senegalensis","Passeriformes","Hirundinidae (Swallows)",14.8540956416807,2.30420681626094,2825216.73982235,10.0162303897122
"1856","Jabiru","Jabiru mycteria","Ciconiiformes","Ciconiidae (Storks)",14.8848413895211,2.28559948311784,2913429.27260386,9.83157832296032
"1857","Northwestern Crow","Corvus caurinus","Passeriformes","Corvidae (Crows, Jays, and Magpies)",14.8889779725448,1.51123368496962,2925505.87538819,4.53231880026748
"1858","Pacific Parrotlet","Forpus coelestis","Psittaciformes","Psittacidae (New World and African Parrots)",14.8704439265126,2.33535054665654,2871783.79640304,10.3330815217431
"1859","Scrub Blackbird","Dives warczewiczi","Passeriformes","Icteridae (Troupials and Allies)",14.9156936225636,2.31249349856352,3004716.03073791,10.0995765635111
"1860","Klaas's Cuckoo","Chrysococcyx klaas","Cuculiformes","Cuculidae (Cuckoos)",14.8881752201358,2.3145880300201,2923158.36086157,10.1207526135313
"1861","Cassin's Sparrow","Peucaea cassinii","Passeriformes","Passerellidae (New World Sparrows)",14.8973733187315,2.17049706228506,2950169.896618,8.76263853555723
"1862","Snowy-crowned Tern","Sterna trudeaui","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",14.8870917371738,2.30333400189926,2919992.88376241,10.0074918940751
"1863","Black-collared Barbet","Lybius torquatus","Piciformes","Lybiidae (African Barbets)",14.8960079955473,2.3567581149271,2946144.70972657,10.5566723994097
"1864","Undulated Tinamou","Crypturellus undulatus","Tinamiformes","Tinamidae (Tinamous)",14.9111530582449,2.28820979299701,2991103.8512155,9.85727531294699
